ident,name,latitude_deg,longitude_deg,elevation_ft
AR29,UAMS Bravo Heliport,34.749942,-92.320148,360
AR30,Baptist Memorial Hospital-Blytheville Heliport,35.943536,-89.916378,254
AR31,C. Andrew Laird Heliport,33.61389923095703,-112.27300262451172,1140
AR32,Dardanelle Hospital Heliport,35.22090148925781,-93.15270233154297,320
AR33,Honey Hill Heliport,35.2333984375,-91.78739929199219,340
AR34,Pine Village Airport,34.981998443603516,-92.44519805908203,610
AR35,Henson Farm Airport,36.086700439453125,-94.1052017211914,1420
AR36,Medi-Port Heliport,36.332989,-94.13202,1350
AR37,St Michael Hospital Heliport,33.427325,-94.042344,1100
AR38,Arkansas National Guard Emergency Access Heliport,35.21950149536133,-93.17990112304688,399
AR40,Sparks Regional Medical Center Heliport,35.37699890136719,-94.42019653320312,460
AR41,Mercy Hospital Berryville Heliport,36.359253,-93.550912,1280
AR42,Ouachita County Medical Center Heliport,33.576499939,-92.83540344240001,212
AR43,Brickey Private Airport,35.097628,-92.779082,320
AR44,Flying W Airport,33.51259994506836,-94.01349639892578,265
AR45,CHI Saint Vincent Infirmary Heliport,34.750433,-92.340699,435
AR46,Penrose Airport,35.18895,-91.050131,220
AR47,Warner Brown Hospital Heliport,33.2135009765625,-92.66790008544922,212
AR48,Union Medical Center Heliport,33.214599609375,-92.66790008544922,265
AR49,Veterans Administration Heliport,36.079200744628906,-94.15910339355469,1453
AR51,Smith Heliport,36.2239990234375,-93.57820129394531,1200
AR53,Five Rivers Medical Center Heliport,36.289249,-90.996319,433
AR55,R.V. Stewart Field,34.73979949951172,-92.09010314941406,251
AR56,Amos Airport,35.61022,-91.436249,240
AR59,De Witt Hospital Heliport,34.278808,-91.338628,190
AR60,NEA Baptist Hospital Heliport,35.807603,-90.666472,260
AR61,Chicot Memorial Hospital Heliport,33.305301666259766,-91.28919982910156,125
AR62,Arkansas Children's Hospital Heliport,34.742698669433594,-92.293701171875,440
AR63,Mc Gehee Desha County Hospital Heliport,33.6184005737,-91.3923034668,140
AR65,St Anthony's Medical Center Heliport,35.167598724399994,-92.7220993042,400
AR66,Pike County Hospital Heliport,34.049800872802734,-93.68409729003906,335
AR67,SMC Regional Medical Center Heliport,35.699849,-89.976719,244
AR68,Fulton County Hospital Heliport,36.38309860229492,-91.8102035522461,700
AR70,Bradley County Memorial Hospital Heliport,33.61040115356445,-92.0593032836914,200
AR71,Hospital Heliport,35.46760177612305,-93.41909790039062,491
AR72,Forrest City Medical Center Heliport,35.039778,-90.776972,350
AR73,Piggott Community Hospital Heliport,36.389801025390625,-90.2020034790039,272
AR74,Cross Ridge County Hospital Heliport,35.220118,-90.785992,265
AR75,Burns Funeral Home Parking Lot Heliport,36.232601165771484,-92.68820190429688,670
AR76,Augusta Heliport,35.288700103759766,-91.3584976196289,212
AR77,Helena Regional Medical Center Heliport,34.5098,-90.626198,215
AR78,Unity Health Specialty Care Heliport,35.233443,-91.729728,260
AR79,Flying G Ranch Airport,33.693497,-91.379612,150
AR80,North Arkansas Medical Center Heliport,36.236487,-93.10934,1150
AR81,Katheryn's Landing Airport,34.16230010986328,-92.60379791259766,250
AR82,Gillespie Strip,34.171199798583984,-92.69599914550781,492
AR83,Heard Airport,34.17620086669922,-92.70099639892578,500
AR85,Drew Memorial Hospital Heliport,33.62009811401367,-91.82599639892578,296
AR87,Sparks Medical Center Van Buren Heliport,35.434625,-94.339947,467
AR88,Poe's Airport,35.0547981262207,-92.35399627685547,295
AR89,Landers Loop Airport,35.40010070800781,-93.06600189208984,730
AR90,Stephens Heliport,34.73649978637695,-92.50879669189453,550
AR91,Circle S Farms Airport,36.22589874267578,-94.03209686279297,1200
AR92,Unity Health Harris Medical Center Heliport,35.609766,-91.26446,225
AR93,Ark-Mo Airport,36.48613,-90.27755,308
AR95,Arkansas Methodist Hospital Heliport,36.050899505615234,-90.49819946289062,326
AR97,Chael Airport,35.22010040283203,-92.49649810791016,320
AS04,Hubbards Airport,34.566206,-90.998872,183
AS11,Rohrscheib Airport,34.447311,-90.807518,170
AS31,Carpenter Field,35.84087,-90.52655,239
AS91,Gaylons Airport,34.292615,-90.995744,154
AT03,Concordia Skyway,-75.103278,123.35825,10725
AT13,Zucchelli Ice Runway,-74.68109,164.12756,0
AT25,Showa Station Skiway,-69.006167,39.59,95
AT28,Vostok Skiway,-78.466139,106.84825,11447
AT98,(Duplicate)Wolf's Fang Runway,-71.5264,8.799459,3707
ATUA,Utai Airstrip,-3.386,141.5868,707
AYAA,Ama Airport,-4.10111111111,141.67,145
AYAE,Mount Aue Airport,-6.229978,144.664181,4250
AYAF,Afore Airstrip,-9.13867,148.390701,2500
AYAG,Agaun Airport,-9.927715,149.389951,3200
AYAI,Aitape Airport,-3.143611,142.346806,10
AYAK,Aiambak Airport,-7.342777777779999,141.2675,90
AYAM,Amanab Airport,-3.586,141.214333333,1307
AYAN,Andakombe Airport,-7.13722222222,145.744722222,3600
AYAO,Aiome Airport,-5.145699978,144.7307003,350
AYAQ,Kompiam Airport,-5.38166666667,143.924722222,5100
AYAT,Ambunti Airport,-4.21566666667,142.823166667,50
AYAU,Arou Airstrip,-5.4951,142.5137,4830
AYAW,Awaba Airport,-8.013414,142.752099,32
AYAX,Aseki Airport,-7.350805,146.193994,4106
AYAY,Aiyura Airport,-6.33805555556,145.904166667,5355
AYBA,Baimuru Airport,-7.496955,144.821756,27
AYBB,Bak Airstrip,-5.2685,142.097,5440
AYBC,Bambu Airport,-5.863611111110001,146.4925,6790
AYBD,Bodinumu Airport,-9.107777777779999,147.666722222,3700
AYBF,Bamu Airport,-7.8485,143.2433,50
AYBG,Baindoung Airport,-6.34722222222,146.942222222,4400
AYBH,Bensbach Airport,-8.85805555556,141.259444444,30
AYBI,Bewani Airport,-3.0216666666700003,141.165277778,550
AYBK,Buka Airport,-5.422299,154.672698,11
AYBL,Bialla Airport,-5.3305602073700005,151.007995605,51
AYBM,Balimo Airport,-8.05000019073,142.932998657,51
AYBO,Bomai Airport,-6.37316666667,144.637,3300
AYBP,Bapi Airstrip,-7.743611111110001,147.020555556,2930
AYBQ,Biangabip Airport,-5.526389,141.744583,1069
AYBR,Biaru Airport,-7.6693,146.7594,4900
AYBS,Begesin Airstrip,-5.388248,145.447394,980
AYBT,Batri Airstrip,-6.551861,143.943905,4510
AYBU,Bulolo Airport,-7.216286671410001,146.649541855,2240
AYBW,Blackwara Airport,-2.618211,141.091971,58
AYBX,Wowobo Airstrip,-7.3405,144.5477,74
AYBY,Wuyabo Airstrip,-6.838474,145.873207,6400
AYBZ,Biniguni Airport,-9.6425,149.303889,215
AYCB,Chungribu Airport,-4.80662,144.714996,108
AYCG,Cape Gloucester Airport,-5.455231,148.422289,78
AYCH,Chimbu Airport,-6.024290084838867,144.9709930419922,4974
AYCN,Changriwa Airstrip,-4.328652,143.74058,100
AYCS,China Strait Airstrip,-10.5627777778,150.690694444,10
AYDB,Debepare Airport,-6.30861111111,141.905555556,360
AYDD,Dobu Airstrip,-6.6305,144.6383,3115
AYDE,Derim Airport,-6.14472222222,147.107222222,4850
AYDI,Bundi Airport,-5.742222222220001,145.2275,4400
AYDK,Munduku Airport,-4.6204,143.4516,100
AYDL,Kondobol Airport,-8.5336,142.5049,132
AYDN,Dinangat Airport,-6.1546,146.6772,5309
AYDO,Doini Airport,-10.7009,150.7218,31
AYDP,Tsendiap Airstrip,-5.3599,144.4462,1565
AYDQ,Dimisisi Airstrip,-8.6298,142.2162,166
AYDR,Dorobisoro Airport,-9.461855,147.920907,1767
AYDS,Dusin Airport,-5.183863,144.41217,6300
AYDU,Daru Airport,-9.08676,143.207993,20
AYDW,Dewara Airstrip,-8.3802,142.4475,25
AYDY,Sindeni Airstrip,-7.0077,145.7965,5710
AYEA,Kerau Airport,-8.271612,147.071899,7360
AYEB,Embessa Airport,-9.447,148.7628,131
AYED,Edwaki Airport,-3.883986,141.792234,190
AYEE,Emirau Airport,-1.653949991,149.9757667,172
AYEF,Efogi Airport,-9.15380555556,147.659805556,3900
AYEG,Mengina Airstrip,-6.4836,144.986,4224
AYEH,Morehead Airport,-8.71411111111,141.644444444,100
AYEI,Milei Airstrip,-9.0794,147.602,2160
AYEK,Membok Airstrip,-6.4744,141.019,54
AYEL,Eliptamin Airport,-5.0412,141.6779,4825
AYEM,Eleme Airstrip,-4.814027,143.910637,233
AYEN,Engati Airstrip,-6.9179,146.1053,3715
AYEO,Emo River Airstrip,-9.1234,148.0415,2240
AYER,Erume Airport,-8.2538,146.9747,6690
AYES,Meselia Airport,-6.1364,149.1183,180
AYET,Bosset Airport,-7.237257,141.1063222,80
AYEU,Eloaua Airstrip,-1.560258,149.630363,25
AYEV,Erave Airport,-6.60646315446,143.900213242,3650
AYEW,Siwea Airport,-6.284181,147.582371,5960
AYEY,Mirsey Airstrip,-4.0621,142.6609,107
AYEZ,Moropote Airstrip,-4.587055,142.335691,149
AYFA,Fane Airport,-8.54927777778,147.085833333,4500
AYFE,Feramin Airport,-5.208,141.6988,4655
AYFF,Faia Airport,-7.160353,143.531317,80
AYFI,Finschhafen Airport,-6.621750109,147.85405,60
AYFK,Foroko Airstrip,-5.3283,144.8944,412
AYFO,Fogomaiu Airstrip,-6.5096,143.0794,737
AYFR,Frieda River Airport,-4.610468,141.960138,217
AYFS,Fas Airstrip,-3.1983,141.472,1219
AYFU,Fuma Airport,-6.3933,142.4408,466
AYFW,Kwieftim Airstrip,-3.6005,141.7674,515
AYGA,Goroka Airport,-6.081689834590001,145.391998291,5282
AYGC,Gewoia Airport,-9.2263,148.4949,340
AYGD,Gimi Airstrip,-6.6482,145.4003,5096
